"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",-0.0999455520651617,0.0137878285453012,0.0239870021974,-0.143262998715637,0.0115100085011792,0.111148191907122,-0.0639907883355268,0.0397258943933457,-0.0206794754007928,-0.0155980495576089,-0.0636765239385102,0.0402604204761662,0.0533007950850836,0.252721075161779,0.214419492196586
"Covid_dx",-0.008763338661224,-0.00346058270464672,-0.000625610341037686,0.042979279041001,-0.00445401373272802,-0.00758309329862369,-0.0255906417245739,-0.0610796547959476,0.0366153221994402,-0.0957038035682786,-0.644387425004909,-0.0512677319277211,-0.0367490456033747,-0.000147061392440619,-0.00600217209873493
"Covid_family_Friends",-0.0647681445258564,-0.0211999943949147,-0.0423938716435585,-0.171381068520546,0.00756765004020427,-0.0338660810826265,0.0384030671198774,-0.0628780958119526,-0.0624741967863168,0.0565891018734261,-0.441369608424874,0.00945395768426728,0.0802841405861861,0.0202192322524631,0.0579771829887562
"Covid_isolate",-0.11651471778852,-0.0440334145943867,-0.0245105081315882,-0.0583919143723197,-0.00280981955845706,-0.00763054792997984,-0.0358151051645057,-0.0677082529431235,-0.065208457510734,-0.0231916937567315,-0.703380038679864,-0.0499671490527044,0.0318998214902961,-0.0110279412161782,0.0201444448370544
"Covid_death",-0.108278315129957,-0.0244271593228376,-0.0273460463164407,-0.0743815297296007,-0.0767985689603989,-0.10503318740093,0.113394683578042,-0.0278804268696812,-0.0496426892400202,0.104376945081991,-0.260296552190634,0.0403481278428435,0.00874094267778889,0.0738986620334726,0.0611835744328371
"Protest_Participation",-0.100765474812903,-0.0273371754935705,-0.0334296300820054,-0.0746421934156825,-0.0673059558250132,-0.109905246600837,-0.104373387062111,-0.101404322574054,-0.021468385392804,-0.432943810036312,-0.115843009875345,-0.00128814174883408,-0.266072588555968,0.0355520226302866,0.061911331199826
"Prior_Covid_Racism",-0.066358128863675,-0.0789501322522202,-0.0315499262480205,-0.522438531826832,-0.0184896940495876,0.0190698197196994,0.135536600022903,-0.100153350830959,-0.0855092251720566,0.0620964674453089,-0.0526030369194543,-0.0391848316937257,0.260404032696581,0.09717815843865,0.0391553301531916
"Covid_Racism_increased",-0.105074742095879,-0.00682502694313539,-0.0896698436054402,-0.435584882529153,-0.0443462270103863,-0.0523575282172677,0.0682009105075618,-0.145165815510329,0.0303074475943162,0.0281213911876189,-0.0293752986890125,-0.0488852336644277,0.109961255135684,0.165634899169178,-0.0559920522116243
"Coping_emotional_support",0.0890274460488596,0.0782489287428517,-0.0153920022566743,-0.00693517153692012,0.300098179810474,0.0096095863506775,0.0439431860504083,0.111202505353347,0.382725742754061,0.043950511055784,0.0514940475074581,0.0267456755758545,-0.0279194843765424,-0.097544999805467,-0.0870459619206616
"Coping_distract_work",0.0723398022760988,0.100145812271958,0.047546826067267,0.0506188245494348,0.230026756120151,0.0193353324774417,0.000427613955363053,0.0763805340486934,0.51672727421969,0.0860305250571416,0.101911449126216,0.027612536126771,-0.0769434908724204,-0.00130488433086127,-0.0751717995619312
"Coping_alcohol_drugs",0.0437259671542721,0.0956341540424922,0.186533321727413,-0.126955074800191,-0.0429732970368574,0.289607112167473,0.12516326868696,0.0837374214286332,0.151973930555063,0.224577221057988,0.0843765107473641,0.0273826367134354,0.117122760729457,0.0432795907847137,0.0592834177807268
"Coping_optimism",0.0252078784933909,-0.00630143599991915,0.084912897383311,0.0315466340882551,0.335114925408653,0.0687972330454542,-0.093526398482559,0.06424677114014,0.474280397269642,0.0395133850091216,0.054188319823265,0.0340713403051573,-0.0774629524889437,-0.042595740926099,-0.00167795929099225
"Coping_humor",0.0338737338286307,0.0164584384373499,0.095949788182189,-0.00908869786151458,0.128712189514833,0.167047257446002,0.149278721894514,0.146905345857375,0.426073888141735,0.333631834687389,0.0475342057643249,0.0890207538816229,0.046175608084592,0.114072876369017,-0.0151361095412518
"Coping_movies_TV_activities",-0.00466941651304485,0.190038524243841,0.0954631700040364,0.1075001968247,0.232546320475916,0.00728054832745473,0.070026528150254,0.0618847407558196,0.56304326276541,0.0380432449342517,0.03828994598833,0.030621434330026,-0.130762452626102,0.000469393377658348,0.0222946155434902
