"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",0.0284676304381819,-0.222827629247638,-0.00588619895213682,0.165273969653114,0.0210792015975022,-0.0144886958484036,0.14727157079016,0.0227578392158131,0.184164013048824,0.0509303942679224,0.0614432597735004,-0.0393924554551259,0.0144474735975756,0.115766652711478,0.11112006572128
"Covid_dx",-0.157079200570648,-0.0751509503772194,0.0241275049615019,-0.09543707384994,-0.0701657572010954,0.0518122208887273,0.216635955386819,0.531400348228488,-0.0586827286665408,-0.175693878706481,0.10285900791553,0.105108246066287,0.00143791645036804,0.0505652667163559,0.0267123286132058
"Covid_family_Friends",-0.142990191856504,-0.216925615590477,-0.0764940804492831,0.106213855459114,0.0342921091377706,0.0847607419409202,0.107084594570059,0.344018077667352,-0.0152720322895091,-0.142433675905926,0.0396797570659103,0.046723770208562,-0.0689616896006037,0.0202989495849501,-0.0490489652078974
"Covid_isolate",-0.247303589963269,-0.206467357163117,0.000167400861475283,0.00939717037520246,-0.0642143723536657,0.0797157568053237,0.156252540222026,0.571585141671806,-0.0616783181356604,-0.181313073026084,0.0858893308103303,0.0922925706471325,-0.0633357447975475,0.082283739912454,0.0141137144063983
"Covid_death",-0.0983207887156236,-0.191833810159029,-0.0359463421162047,0.0777088077049236,-0.00742311883425696,-0.0330210093805108,0.0197316154433723,0.173691327590085,0.0519228943082881,-0.168753765728562,0.0920849630692831,0.0227205602407725,-0.0251114622994383,-0.0246114097046642,-0.119505376162222
"Protest_Participation",-0.275591820463757,-0.0659853924683222,0.0531621014254265,-0.153413069191579,-0.121860945409487,-0.146534103023047,0.37272741851075,0.0316376388796425,-0.0697933554920452,0.129938864738735,0.0363337140277716,-0.112787975907673,0.0727766906429548,-0.0856716595438108,0.0352377803289513
"Prior_Covid_Racism",-0.075455334184829,-0.386326788958911,-0.249827310396453,0.323699850662221,0.118869932018798,0.233458427201797,0.0560275172669823,-0.043351480461292,-0.0753476025581222,-0.00717609296520301,-0.019320127688233,0.0167410609473214,0.00903822936661768,-0.070988353316484,-0.0254131344759177
"Covid_Racism_increased",-0.124092072882755,-0.332895330725824,-0.130455026270769,0.180155187876087,0.106571734063568,0.165658974447974,0.149700730913168,-0.1315467264375,-0.0604595923588687,-0.112065303323105,-0.0622229981751665,0.0456633804259952,0.0813504078743148,-0.0448139330324013,-0.0437403480010719
"Coping_emotional_support",0.191115893158018,0.222885742633482,0.277891902817004,0.0255255222931431,0.230164640925107,0.173918361565701,0.101331535308259,-0.0316272820925491,-0.0413949109080238,-0.0477742314918699,-0.0493686263627156,0.103432278545227,-0.0128877341270245,-0.111460971519842,-0.0118155863588523
"Coping_distract_work",0.248654486267025,0.211810186071236,0.320539400746431,-0.0554750694067081,0.231842293731478,0.132251184446093,0.140935581758994,-0.137654621905859,0.0265066009330743,-0.10493884177031,0.0209644371440847,0.189478574275111,0.00431719875934727,-0.0699427325630128,0.0282767655936295
"Coping_alcohol_drugs",0.405313270933745,-0.155435330282507,-0.0203441479236684,0.125432376166026,0.0637860013390218,0.0808213570575278,-0.0769445744422146,-0.0768918572307358,0.007942991268716,-0.0554338654028507,0.0540675063693734,0.106148421700994,-0.0806069810698514,-0.00724245424541173,0.141336655785915
"Coping_optimism",0.158325638601701,0.212611258770097,0.358320376948569,-0.0265626727752449,0.26729449310132,0.170374430389747,0.159498409240235,-0.0782224087674408,0.0167943543530535,-0.00068887098723948,0.0819925240601423,0.138105122428502,-0.0804066510458825,-0.0206863397386294,0.11329261231033
"Coping_humor",0.375948291540762,0.0327907384557905,0.21145032660483,0.148888295835783,0.24176633039521,0.108946402903666,-0.0487200992517269,-0.0887584272117056,0.0880446675506349,-0.240323666410392,0.138467924379837,0.184034728166816,-0.0206396204102134,-0.0359382645537528,0.0855636867934033
"Coping_movies_TV_activities",0.297751074351626,0.13570025465865,0.410625352234798,-0.141513692653945,0.200411623637078,0.104363820561098,0.193605768098505,-0.0659401890898854,0.0953391839526053,-0.0834767385544685,0.0642172867212173,0.181817672532626,-0.00546160096995133,-0.126765304976136,-0.0141015749481268
"Coping_spiritual",0.0325665203867019,0.253413816171103,0.326779716158605,0.0140393592189728,0.229863904629776,0.229229905494253,0.13850295554178,0.0851083094450519,-0.0627773526786033,0.167305836492439,-0.0538980472498902,-0.0419346836067099,0.0208759668567389,-0.0425299656586686,0.0379124786059076
"Coping_outdoors",0.103190327459188,0.168136417581885,0.334772550139848,0.135782827240258,0.400297092731954,0.333485120115084,0.00853837551820843,0.000659525784239386,0.0373488853895194,0.00725619136391953,0.0273541431318145,-0.142661257799255,-0.029092456166891,0.114151857731662,0.0261958610372905
"Coping_pleasurable_activities",0.011467760212767,0.232502762622764,0.430349072937643,-0.0427678883557465,0.302747218076206,0.255382826934635,0.129958132001959,0.0422793849513547,0.0263423868276502,0.0227376349594164,0.0266413710498008,-0.035553694130736,-0.00425087506360888,-0.0772491740995269,-0.0294335260362481
"Coping_not_show_emotions",0.350391492511457,0.149322099428975,0.305063648632292,-0.103356163530275,0.136613980037941,0.0555899455256912,0.138182928971257,-0.0860681977073452,0.0484523438696973,0.0446201575623075,0.116361903681347,0.120565385282674,0.066186859744049,0.0124761466064616,0.0817033887959443
"Coping_exercise",0.0766916903209786,0.205943849832944,0.347657566478685,0.10288153500222,0.348007464434083,0.356910519177852,-0.0327103839957727,0.0498352109436194,-0.0105328391075787,0.0644315941275455,-0.00750716459870278,-0.188720661147517,0.0278237812020556,0.116622053749072,-0.0985162595765927
"Coping_nutrition",-0.0298822595747221,0.227780508566955,0.371761710564842,0.0402824131640249,0.28820702993491,0.368341272736913,0.00783341779934613,0.175827398074995,-0.0266320939025216,0.144594055659856,-0.0277304592654365,-0.185142782952075,0.0141777791928335,0.0447994815805565,-0.0948784418841422
"Age",-0.0732411666177188,0.0302443815564164,0.0244321823555586,-0.0598295121023053,-0.0740465950328007,-0.0285020291974917,0.00438526341899149,0.0774561958416832,-0.142865190868044,0.0598941322501494,0.0333845491582351,-0.0582920614667795,0.0804332382415546,-0.0956358745433837,0.0710748123255899
"Education",-0.0359736369500002,0.145773972456161,0.126751471617423,-0.0675655856025107,-0.0516974540197069,0.13033119640024,-0.184198378876197,-0.0474265274103918,-0.4448737547335,-0.111959777389316,-0.142971976458283,0.0499047120049779,0.0755016885958867,0.0891045217073899,-0.0811634060732716
"Income",-0.0364369325217996,0.103581225186944,0.141705717854201,-0.0528418505712802,0.14501786202997,-0.0764967800919204,-0.119253377158647,-0.0875801165635169,-0.456761237347098,-0.235044164236942,-0.111779449524118,0.0673058903400137,0.225524629557437,0.105549914121798,-0.0306533454289618
"Population_density",-0.0033744676199758,-0.0603699398228253,-0.0273777904631653,0.106549020857768,0.0485668160669981,0.0454687012907329,0.0306966534235458,-0.00454458928417628,-0.0490423015131186,0.0998329280435979,-0.0864350985936377,-0.046237340285617,0.023313248705741,0.034543950443959,-0.00499123515369668
"Sexual_Orientation",0.174274637169677,-0.0687485762713247,-0.0619393887231681,0.108578942373221,0.0287790886940237,-0.0366514026311377,-0.0434039564335085,-0.0475703729639168,0.125349507552214,-0.159911703313664,0.132984746424317,-0.0367251891935332,0.0279591641580643,0.0200289477120894,-0.0472208983071194
"Marital_status",0.0823614690836304,-0.101897486624259,-0.00985307850139456,0.00152030402104186,-0.061199881686334,0.0367643974694036,0.0195321601883561,-0.0857412002919064,0.374543362175956,-0.160328604097306,0.132974982460536,0.0422339410593858,-0.0979448410384697,-0.028597210661291,-0.0753982074770112
"Number_household",0.128530240058022,-0.00476925032236324,-0.0288751399040364,0.107405357389174,0.549609511585685,-0.617280193407016,0.0055354701892231,0.0421448672560435,-0.017211070545414,0.0681448897816728,-0.0165689786959757,0.0186895671828788,-0.0211618243967756,0.0291252929954276,0.0232496373772407
"Number_adults_household",0.0965926248573004,-0.0522079138128442,-0.0355549497453358,0.0960889974532049,0.51405568775202,-0.584137971817692,-0.0110729714966786,0.109343167193267,-0.0811770128289385,0.00801568207468333,0.0310662345954126,-0.0297593878581654,-0.0389702424113088,-0.0514601171152894,-0.0719877012002553
"Employment_status",-0.139290201918752,-0.0699927344553352,-0.0285083530075023,-0.0970541360042051,-0.0801317668957547,-0.0655101588824302,0.205985755922809,0.206682097454016,0.104413991973105,0.233822507588095,0.0980724352376567,-0.174307164741462,0.0740938918778695,-0.205454717859371,-0.0867488744199805
"Academia_status",-0.182699171274386,-0.0182789618413976,0.017193461917268,-0.126456279220688,-0.178025738251261,0.0197823576508916,0.191840021209968,0.11356343703167,-0.142162986491378,0.291765168410978,-0.0321870894673722,-0.0128886498863061,0.059353739537585,0.0200528590125814,0.150886318895865
"Vote_2020",0.05158323743056,-0.213910536583448,-0.0849712775472161,0.198128367911883,0.0996686419331088,-0.086037944854157,0.237538584986803,-0.103572556217862,0.326179705539245,-0.107133122922075,0.154262454105881,-0.117644191936239,0.225219436486992,0.148191483204442,0.0212018590198731
"Political_affliation",0.0255910139510971,-0.142248781592785,-0.0336714603085408,0.135132623898331,0.0149690242534095,-0.0678403888185791,0.15079792673442,-0.0986766274411019,0.132777610313415,-0.0928875795042288,0.119479603564622,-0.0675513472000245,0.308551169840269,0.267134289987272,-0.0171249976124194
"Political_views",-0.0844143081982012,-0.0924209264710514,-0.0291592356165961,0.0757261754160042,0.0347538608904365,-0.0281130690179147,0.244247018360086,-0.0827576955744154,0.0150703818540751,0.168332843065424,0.0255188405030438,-0.0371149878814926,0.116586336496202,0.0909993669184894,0.0849184788940855
"Find_out_study",-0.142918923211631,0.0801333636008829,0.142192537080643,-0.247715122636748,-0.148836266764955,-0.183227686439793,0.231757150334118,-0.0530273619114242,-0.0601931143770449,0.0475368722444505,0.0497250078335305,0.00473067553582477,0.0617636618592593,0.059270421748958,0.0845298776452499
"GAD7_Q1_Feeling_nervous_Recode",0.776757993164842,-0.120589802712992,0.118344770177828,-0.117987189521023,-0.0328544654616273,-0.060245063208147,0.0543158289268581,-0.0212644316381054,0.00526811193515696,-0.0399673371117415,-0.084145644780575,-0.014890761488382,0.00960607505599265,-0.0218233352308092,-0.0333955164056291
"GAD7_Q2_cannot_stop_worrying_recode",0.817940887895503,-0.197427575533965,0.0887870966691413,-0.14696803321746,-0.0288095914967366,0.00692416036474605,0.0605416650220787,0.00718897427817955,0.0641925873911069,-0.00791234072186539,-0.226760427566815,0.00640168549446195,-0.0388620865771638,0.0425317557216607,-0.115422368121913
"GAD7_Q3_worrying_too_much_recode",0.80768960824389,-0.169955557431648,0.089300852913046,-0.18292960393507,-0.0598147119833643,-0.0629461878719199,0.113967087380774,0.0202309575862648,0.059967891698231,0.0277743117268577,-0.222947692430449,0.0361852358315242,-0.00208742449167272,0.0264879054037685,-0.0639723423136767
"GAD7_Q4_trouble_relaxing_recode",0.795074527613465,-0.195808484486131,0.0498099068663952,-0.0569653916853724,-0.00114042374829357,-0.0130382678821562,-0.0343886921505647,0.0822734901911779,-0.0510225175957897,0.0173373630282311,-0.12614688803615,-0.0408089552842592,-0.0123191090025366,0.0238084515964585,0.186202927089342
"GAD7_Q5_restless_recode",0.720346903646019,-0.185268321063495,-0.00373166099091792,0.102540046081205,0.0446478006514593,0.0743500137003476,-0.125746538894501,0.0659160365717819,-0.000430237588412947,-0.0498760932874521,-0.0875326145993762,-0.124774679653375,-0.00340619544014761,-0.0476468683027667,0.223828177905609
"GAD7_Q6_irritable_recode",0.737612147842605,-0.163831810872106,0.0747570988269299,-0.0575259291864464,0.0165522572169646,-0.0567233973971388,-0.0252768473860089,-0.0499384439133389,0.0351492562870653,-0.023885312908827,-0.0140762910610791,0.0606689292390134,0.0744426984654661,0.0326254899737819,0.0759728288319462
"GAD7_Q7_afraid_something_bad_recode",0.748979058145246,-0.161551289478797,0.0587194822187885,-0.0365972209045217,-0.000576347057704132,-0.00754752691766569,-0.0220518976789497,0.0697364059417286,0.0380509846045642,-0.0259681806453254,-0.133836481089689,-0.0391721588667321,0.0789287042411179,-0.0614190077189034,0.0276833445090437
"PHQ9_Q2_Feeling_down_recode",0.725911666338239,-0.127189300924905,0.00983775047388287,-0.0330822655171252,-0.100052038673408,0.013691249541409,0.0674379519347687,-0.0265226095097793,-0.0666928068209101,0.0685333121443562,0.160755505162673,0.0152686994640017,0.0335704352338579,-0.0247108861880841,-0.121183638796858
"PHQ9_Q3_Trouble_sleep_recode",0.67450736341343,-0.109873587335216,0.0443267212257251,-0.0812464841018504,-0.0888167421338077,0.0010990948387558,-0.005317026251157,-0.0199981682220301,-0.15025898206066,0.111919451144876,0.241857077378572,0.0486584057499207,-0.0701150084458413,0.0872695678899723,-0.00248684106963296
"PHQ9_Q4_tired_low_energy_recode",0.711253443677878,-0.130622087399366,0.0586929914463278,-0.120180144906526,-0.0424206807399387,-0.00712312283687554,0.0306965896026992,-0.0660559470400257,-0.169602674666386,0.102870443527927,0.291592203415237,0.0567468770652994,-0.0861327692296015,0.0720687060399625,-0.0614363649283812
"PHQ9_Q5_Poor_appetite_overeating_recode",0.668216263416227,-0.174974434219068,0.00369517551434595,-0.0046692375754312,-0.042436370891314,0.0195098083063123,-0.0853461310557159,-0.0617209643619256,-0.0956582854073914,0.0919315338513702,0.247676959307019,0.0347657928307338,-0.0126605358762706,0.0026654079662663,0.0266324879297862
"PHQ9_Q6_Feeling_bad_about_self_recode",0.723639323076861,-0.193533194611138,-0.00436423579513868,-0.0459806603944397,-0.0241994246165765,-0.0219704554351238,-0.00114314242579348,0.0162587526950029,0.0172389858137152,0.0333421574579093,0.192067658371851,0.0322096672457489,0.0409201659753135,-0.0133062295079572,-0.0843184876783217
