"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",42446.3413013922,42446.3181339995,0.21528893589073,0.383017787493893,0.0374317107054375,0.0507551990872876,0.00337695702118781,0.0661425033840975,-0.177424871172106,0.141139049606242,0.0755584960221155,0.055369572880111,0.0203345831637598,0.127989159872998,-0.1055870514566
"Covid_dx",-87482.886326234,-87482.837958837,-0.0730055995054728,-0.129832011731308,-0.0268317737623885,0.00496232273104741,-0.125037694374773,0.572697135994115,0.0313850245811959,0.190073546748232,-0.194227308748897,-0.117618069641119,-0.00591296830822803,0.0430913199601674,-0.0330521441189066
"Covid_family_Friends",111093.401262231,111093.286846425,-0.211279456351574,0.0986379503668681,-0.0848819793628724,-0.125212589882168,-0.0400538295857336,0.401572118831826,0.00316992095369987,0.106189693423208,-0.139136159863011,-0.0357325670327852,-0.0462930329332222,0.0155426437752196,0.037904351235218
"Covid_isolate",-33883.1880186923,-33883.1790352988,-0.179923670513558,0.0290537247369172,-0.0958064740575277,-0.00169831473220603,-0.116809176776342,0.618352586905256,0.0295791438262016,0.12280850337568,-0.192918933372003,-0.104364729185503,-0.0662255111166314,0.0735215543789172,-0.0257679309187544
"Covid_death",161830.857145125,161830.842070259,-0.203612859400591,0.168716024970823,-0.0444693871463339,-0.0667075979879837,-0.0751306069880157,0.227198284185978,-0.0478008509350348,0.0277235490312826,-0.156206242604086,-0.00545958749216525,0.00516650599181656,-0.026825669973995,0.110453843988691
"Protest_Participation",86252.5917582278,86252.7384012286,-0.20820979405767,0.0829708274625404,0.104575508816093,0.0461881467491931,-0.038439025158501,0.0563283505957898,0.0518192339402871,0.382172933660016,0.121746550800589,0.115315385372715,0.0771902743637125,-0.0881716058624027,-0.0295404205476902
"Prior_Covid_Racism",-146259.690455526,-146259.910834869,0.0355249072922031,0.170033545406012,-0.20291670947069,-0.242349691930664,-0.0482645940825224,-0.0620371752508476,0.02872536475316,0.0309670278520727,-0.0359851091601565,-0.0432821517327018,-0.0142905717492165,-0.0761855416193668,0.0137994940617697
"Covid_Racism_increased",-236053.187116587,-236053.3329771,0.113378541310653,0.173354926136453,-0.0811857322005831,-0.0848159532941465,-0.00358791270765721,-0.153341120606384,0.0130278498173836,0.117498114903365,-0.157010360681859,-0.0824961831123411,0.044759298150048,-0.047379754558299,0.0369974952722751
"Coping_emotional_support",42202.6328530406,42202.3633935667,0.122226063388798,-0.0156310266693434,-0.0107956963577883,0.299670445494748,0.0946039724591141,-0.00936120300721174,0.0666669850751913,0.111870534379736,-0.034032177993626,-0.08848435908889,-0.00106988106146881,-0.105189448548192,0.0172124566368599
"Coping_distract_work",-33780.1782388045,-33780.4047760029,0.26731308228317,0.0252041866397133,0.098221297626444,0.369380023368666,0.032998517907408,-0.112837983380443,-0.00194266860539224,0.145087112674657,-0.0993131931872431,-0.179642086009593,0.00501185546009129,-0.0578873904070343,-0.0174177292603678
"Coping_alcohol_drugs",-59098.8733361883,-59098.9642870525,0.925959803321578,0.587678573289859,0.34032750075997,0.0601305968718336,0.093290602235645,-0.00324767010417627,0.0519899545343242,-0.0542709674137569,0.0075399833199422,-0.0504988262212659,-0.0907778101770721,0.0288060919361611,-0.127422002826134
"Coping_optimism",62995.4388555651,62995.1328941853,-0.0237144892868126,-0.0287173893730985,-0.0123056226140632,0.386293984686374,-0.0582130793089627,-0.0604751326047198,-0.00820606748499477,0.15636400425605,0.000540581471368064,-0.132335599103043,-0.0684212521484681,-0.0163907435127871,-0.1068862816762
"Coping_humor",73574.2897153545,73574.0489940064,0.335261013296945,0.228082051046213,0.0239352474748752,0.24402761040001,-0.0509045938155851,-0.0252893543467965,-0.0434632211221998,-0.0372627422822342,-0.210660261921637,-0.14926008870223,0.00539972898994982,-0.0216128215447169,-0.084017009049447
"Coping_movies_TV_activities",-9653.08149228913,-9653.28652041168,0.654396266749807,0.423588253701262,0.403218348725517,0.525381504301278,0.0852028163011936,-0.00140503333073141,-0.0392069076493857,0.208322992319637,-0.0378412226045443,-0.139590990083274,-0.00793301969837483,-0.0937360190256979,0.0356428549453506
"Coping_spiritual",31525.163524695,31524.8503196498,-0.0562487676415801,-0.0754544298470659,-0.0827070057162692,0.366570353977818,0.0626734659481974,0.0666272313339662,0.0666932574085577,0.127906257034956,0.172357833702638,0.0400066439528997,0.022678792024549,-0.0437030378483771,-0.034191165073923
"Coping_outdoors",36101.5826358491,36101.0561054204,-0.118867813428618,-0.0481206165886928,-0.146436786762749,0.360544939743004,-0.0342294054683826,-0.0252371413796993,-0.0388095770467505,-0.0157769895643295,-0.00222948140169075,0.137968548021503,-0.0178469221663934,0.110268321339499,-0.0327266523419155
"Coping_pleasurable_activities",-49.7481317852344,-50.1303260543182,-0.138542990306722,-0.0755569337260607,-0.0606420906582774,0.485755777683699,-0.0356211126212557,0.0115312250846025,-0.0351490522932374,0.10337186033669,0.0086652477248811,0.0225966015131219,-0.00382559429012785,-0.080326035766877,0.0290372855662491
"Coping_not_show_emotions",-16569.7953637972,-16569.9219157331,0.715846963536849,0.362001738003531,0.374416673699754,0.400561148270842,0.0291952740183094,-0.0275546372322269,0.0140196466194492,0.15745639385563,0.0960387036838822,-0.0766565890763054,0.0612978062470824,0.0442228748684833,-0.0585637244174185
"Coping_exercise",-53590.3887135492,-53590.869055361,0.00967005664910182,-0.040438968206843,-0.113292901981941,0.411071088296828,-0.00197513245334065,0.00141369734045152,0.0125538759497089,-0.065109393512545,0.059812980806392,0.175316837984588,0.0191609712401296,0.114684200201236,0.0948170569081761
"Coping_nutrition",-103599.071458517,-103599.498706247,-0.0618198695509492,-0.102380988647432,-0.135768931534277,0.454348335715255,-0.0057246183142506,0.104694646149326,0.0107540740659998,-0.039455931288719,0.132643323321477,0.157450734546317,-0.00755446697154428,0.0390429743673651,0.0913585724271388
"Age",-41634.3134017845,-41634.2269948548,-0.0148938703038663,-0.0471355620932817,-0.00599478993634405,0.0331838619893714,-0.0578816411653371,0.0593733272505327,0.135517197942536,-0.00221274937340255,0.0527157533129278,0.0527434542016087,0.0706825414437306,-0.101106044227554,-0.0737073984978579
"Education",-381484.650921332,-381484.584136287,0.326226687921976,-0.105391391926009,-0.0186373654599912,0.235477374087545,0.060741234816498,-0.107899642789603,0.440526364756836,-0.221004698901875,-0.139037216485447,-0.0942148570672244,0.00498465643845348,0.0853840102183712,0.0800538901822102
"Income",358486.04494397,358485.890637266,-0.173164268014515,0.197651096295866,0.165519690778275,0.0537252685437951,0.168667167009254,0.0120365375684378,0.539848131088483,-0.0442720515463925,-0.200848280228157,-0.000629959545791012,0.288482043374983,0.106502166711094,0.0222951168470576
"Population_density",90067.3879699777,90067.2913109678,0.0811847530676647,0.204410286056864,0.0300858305208918,-0.0231394035495474,0.125790258432791,0.0200344142773787,0.0682836745933711,0.0481208806624549,0.125125385035214,0.067161697159279,0.0334192199087944,0.041188018869718,0.00748956274405336
"Sexual_Orientation",41560.7010267945,41560.6967183976,0.108796404231841,0.0354589368851299,-0.0285373670211169,-0.0900057234722888,-0.0996718777294781,-0.0174494861804774,-0.110048098919527,-0.0338647791236836,-0.151731789026881,0.0517965807111756,0.0466575211717019,0.0226485743870875,0.0441301707624138
"Marital_status",-426081.995140622,-426081.853859318,0.250088344818668,-0.14882139758807,-0.0998515794229268,0.0996690304209485,-0.1974401517224,-0.165850701878285,-0.438813496485022,-0.0566968569101045,-0.213991399990007,-0.112219832419328,-0.1603855473933,-0.0296828510275378,0.0777508199659094
"Number_household",2834849.81181143,2834849.01162465,-1.60827514332536,1.26705133596013,0.733507693244656,-0.706154911944724,0.601480622924018,0.619817789398441,0.367963702778205,0.435283572210237,0.386167867432321,0.417615404239461,0.453073575437094,0.0678252648183805,-0.0301402969908482
"Number_adults_household",2772215.13583794,2772214.3527685,-1.56283231374761,1.28461962472941,0.740429730215133,-0.701611146828313,0.538428585861471,0.680277069227731,0.424271908629917,0.410154961578156,0.321298784283363,0.460481278954791,0.423760798159602,-0.0139573297713652,0.0616560586006714
"Employment_status",160903.809990671,160903.847832515,-0.0951622262821196,0.129017302676063,0.140306185837467,-0.0568594578820998,-0.0504387781476584,0.221283588960508,-0.104810333303134,0.223572379961563,0.256506653543274,0.198536452432785,0.0931395643847514,-0.201947240350194,0.0908452280378338
"Academia_status",-301920.823155267,-301920.631402057,0.250392107231294,0.0116502917263506,0.0676798442250896,0.124015961037153,-0.0158641059494636,0.0589701599691285,0.102348154873533,0.148745173338974,0.272234961989296,-0.0284457926128686,-0.00775857645631612,0.0215087002532581,-0.139470695929873
"Vote_2020",76987.8962155632,76987.8498523991,-0.0586331591328066,0.0823736353183806,-0.106031471127664,-0.119619662283493,-0.124470074795545,-0.0657776849406527,-0.333697098738365,0.237332260689149,-0.120802314122061,0.121088586379549,0.256309288092128,0.146059770586354,-0.0240382918533202
"Political_affliation",-127050.858881114,-127050.792553285,0.155100150787829,0.0513624909854724,-0.085549708199902,0.00182731416533035,-0.122785916195048,-0.0907189796640035,-0.138688864386905,0.129740876744676,-0.11306464078559,0.0470208679034764,0.298988568697014,0.265407108875795,0.0179700322100642
"Political_views",85381.4236767511,85381.3849607957,-0.109932347244859,0.0891152693927738,-0.037968415270224,-0.042026155179089,-0.020875156794548,-0.0623049782028358,-0.0223642423247925,0.252772992844916,0.167266400117716,0.0393911548936076,0.127235175961906,0.09030769200046,-0.0803240638249009
"Find_out_study",-44910.6020468642,-44910.3622164927,-0.0108650012839565,-0.014787810993539,0.157772691406875,0.178766509878894,-0.0531718012091723,-0.0442652599069282,0.0542536612262736,0.2284847702991,0.0358251558094251,-0.0142131966714384,0.0464104206433278,0.0606432599537513,-0.0734373817212575
"GAD7_Q1_Feeling_nervous_Recode",49968.4100625301,49968.4166305058,2.35554005889328,1.54949472373539,1.32743698338291,0.301994440593692,0.573900330390335,0.209423933308038,0.206188500929457,0.168858023638815,0.163271753781912,0.201213436500441,0.00643800919209342,0.0820822851307361,0.0865315471478033
"GAD7_Q2_cannot_stop_worrying_recode",-48145.2020231037,-48145.2376086963,2.7956748523514,1.83837341573985,1.58332920752412,0.333776601233366,0.78260730113358,0.250979229870955,0.166138901729202,0.17761814731857,0.220555939772677,0.193369369084823,-0.0646819641401281,0.166395371291859,0.179485407284727
"GAD7_Q3_worrying_too_much_recode",27667.2580010639,27667.2757171593,2.74235369404907,1.83096749035229,1.60661630792483,0.313959153214722,0.795061297755627,0.282031797129376,0.17854778280578,0.244410123498793,0.263496367711071,0.174117574262773,-0.0152779205848654,0.150489255832167,0.13024375731403
"GAD7_Q4_trouble_relaxing_recode",76744.938884988,76744.8718343262,2.45792564535626,1.6754651236109,1.37381859162253,0.225169640006204,0.634099524747739,0.321383157897441,0.268704945055918,0.0821368298445359,0.231756068514903,0.244350438990308,-0.0109420347366509,0.130772467910467,-0.137023935105966
"GAD7_Q5_restless_recode",-67599.3931947298,-67599.4942737608,2.0243155084932,1.23319038793509,0.920132689346762,0.149475555307175,0.456737959081004,0.217013529568061,0.152984810046687,-0.0588601443510074,0.10052330733371,0.268015776514044,-0.0143256028367321,0.0303387964473979,-0.193587431395866
"GAD7_Q6_irritable_recode",68457.9758970635,68457.9436912371,2.10373080814504,1.43473859709857,1.16939283460537,0.235061255001165,0.451289027276536,0.157001014581681,0.156746242950063,0.075423795663258,0.157807687567643,0.108588379526192,0.0783099095737526,0.125266142779328,-0.0309949476737945
"GAD7_Q7_afraid_something_bad_recode",6431.94765729291,6431.90898294797,2.3079428374549,1.49614216119692,1.22083020756437,0.240828709639022,0.599666619437678,0.271939272117657,0.159296146516813,0.0773675319271987,0.165709373649058,0.214857853343638,0.0737779238754491,0.0359324059235396,0.0178740123617478
"PHQ9_Q2_Feeling_down_recode",-117834.659756929,-117834.588662962,2.03995225348429,1.12392969357128,0.950392816129849,0.17268142695383,0.189915101130142,0.136197337976045,0.218529520896736,0.141658288006507,0.224156783765829,0.109627488471248,0.000786862957419638,0.0563372450404628,0.166992714359177
"PHQ9_Q3_Trouble_sleep_recode",-5400.93714204966,-5400.9016069199,1.81642060020635,1.10880952196832,0.949759092460568,0.178350255900716,0.089246677271022,0.151897387420655,0.302619795432152,0.0731178432674576,0.269645632996941,0.0828219905960841,-0.0901720361007846,0.16467295234431,0.0452399050603492
"PHQ9_Q4_tired_low_energy_recode",118253.277953776,118253.239291581,1.84090940154687,1.24099130072292,1.08714549997911,0.164219742676434,0.0811624420257566,0.142998632339388,0.343879584471533,0.135339760170488,0.279153724634062,0.101468564392741,-0.0877562522159945,0.15691280304349,0.107118954899144
