"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",-0.103441646954718,-0.00501354713541932,0.0087222485088955,-0.134214661569426,0.0141788029548737,0.0940362621635245,-0.0811604635418342,0.0348326230202324,-0.0262755502380643,-0.0379088534262499,-0.0712458701749002,0.0389962762473018,0.0578071376869757,0.202476544345269,0.264097874795646
"Covid_dx",0.0141284699596583,0.00649834860697529,0.0121206419450453,0.0481201951956348,-0.00453741076652728,0.00647931409996033,-0.0147341941027699,-0.0581455091265621,0.0417393616482235,-0.0908373370096599,-0.644014940050011,-0.0541000860863608,-0.0405058627394661,-0.0199402857557171,-0.00839237729539966
"Covid_family_Friends",-0.0515983942762055,-0.0159817252292215,-0.0405519799875323,-0.163702489949627,0.00943472992375452,-0.0367197748245138,0.0299252287922954,-0.0628390680660824,-0.0615195589624934,0.0518091352213269,-0.447049492299788,0.00615005761191981,0.0902142691737362,0.0421638726434466,0.0272863765669296
"Covid_isolate",-0.0929261232153563,-0.033363831215213,-0.0125519713681247,-0.0514946260671943,-0.000986113449876463,0.000146562931162729,-0.0326690221052324,-0.0662205736746571,-0.0607698028595691,-0.0250919529687414,-0.708742698037449,-0.0549188437791989,0.0338865988000775,-0.00365609778778327,-0.0143471256294286
"Covid_death",-0.100547554344476,-0.0220112495171793,-0.0348473734429541,-0.0697826907166826,-0.0743909448812719,-0.115744016657303,0.0980124596156135,-0.0299487846790887,-0.0544180733033587,0.0992309815785729,-0.267103362779921,0.0379233328341479,0.0152585817858849,0.0478329384201069,0.0834588004468609
"Protest_Participation",-0.0801226984891787,-0.0231560358031042,-0.0310046019536634,-0.0829084649334209,-0.0666468860267062,-0.0939135226964364,-0.0808410884553636,-0.103584808755431,-0.0239652856502959,-0.441006731343975,-0.126161221149135,-0.00750616830915116,-0.274698641518035,0.0190363985171487,0.0204053274714073
"Prior_Covid_Racism",-0.061732589473474,-0.0814218429295805,-0.0386126208981964,-0.506706245425065,-0.0159726132088067,0.00356278443958464,0.120614514475561,-0.101629340199694,-0.0868872024463176,0.0544746694142898,-0.0613924558487133,-0.0417078405117793,0.287238614922452,0.0258282096174288,0.12211593074214
"Covid_Racism_increased",-0.0924514774616547,-0.00370482883863429,-0.0913585873291169,-0.423569261805167,-0.043909050501105,-0.0558536593769685,0.0574166453260161,-0.146854776509687,0.0286826978681069,0.0208861519626138,-0.0380197959025285,-0.0518192457705799,0.128385838520883,-0.0773204056244612,0.181212815007592
"Coping_emotional_support",0.0838435765819191,0.078540266143679,-0.0137868742683789,-0.012116797241101,0.290234442212433,0.0161287535772821,0.0508530469986597,0.113562388080834,0.391581488681299,0.0589614782473404,0.060173916017572,0.0311597948982766,-0.0300838147225838,-0.0606830865567477,-0.0944750419683313
"Coping_distract_work",0.0646815195694441,0.09535528670784,0.0455441477642821,0.0456906930321447,0.218156934308316,0.0229395819469545,0.00454302828923591,0.0773642689682554,0.522247132046091,0.0973968150463575,0.111893244618091,0.0332975039261409,-0.0839182463125238,-0.0431460965703505,0.00337470768720569
