"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",-0.112355152114578,0.0318776815949398,0.00817594904688083,-0.0969779017196639,0.0348050891436565,0.0473583889772471,-0.0141729027480091,0.0246456185027738,0.0573731646462254,0.0311130394411492,0.0919646894979793,-0.184707822171246,0.235191736413118,0.082272376548417,-0.0928911873242574
"Covid_dx",0.0693822898460594,0.00904439398896469,0.00909582260765552,0.0612687396224079,-0.00233807607536917,-0.0132149411121834,0.053087274072765,-0.016672401411377,0.6727207185476,-0.0185501694110294,0.0415228591108753,0.0187140830725873,0.0134149809127754,0.00317214815939572,0.0123913959496299
"Covid_family_Friends",-0.00585087580905934,0.0119384574516631,-0.0196314709118452,-0.146620676686088,0.0273915538078106,-0.0151056933711653,-0.0253676625824026,0.0368576167528458,0.443730949442443,0.0404200955538231,-0.116140800027931,-0.0349966674873665,-0.00632636746007864,-0.000859236197550282,-0.00501531366184847
"Covid_isolate",-0.0463501116736217,-0.00722378364164878,0.00943370907496237,-0.0194767850480414,0.0153564718239942,0.00407488425119169,-0.0276975414396125,-0.00405032822452193,0.717442007057287,0.0225502012096742,-0.0256650534463433,-0.00058999684478056,-0.0099039597300938,0.025938739045678,-0.0412705795025861
"Covid_death",-0.0700628160950857,-0.0223347094396396,0.0274333241904606,-0.0450071721451999,-0.0597569698475585,0.0151437408834939,-0.0133307190337315,0.0522181894061106,0.253463532608078,-0.0117113397148891,-0.216154506647259,-0.0376376069338806,0.0445812170777676,-0.0559678411182319,0.0564342764760608
"Protest_Participation",-0.043092691622709,-0.0275206069639234,-0.0290512684143177,-0.105070912271154,-0.0384885081298122,-0.0674830068206919,-0.0268363354663712,0.0211359912087736,0.0637604646087584,-0.240413621782107,0.325459701059271,-0.0883849723553983,0.0327839550177279,-0.0875916348185445,0.181777295852138
"Prior_Covid_Racism",-0.00764931714170194,-0.0928253842403745,0.026505963163835,-0.5086103430271,0.00222220931125741,-0.0648621246887297,-0.0208724129657429,-0.0403969165471717,0.00830334121016817,0.159460012250432,-0.0988768712863598,-0.00692799443940058,0.0214820364421862,0.0765722092011877,0.0644499670822272
"Covid_Racism_increased",-0.0335948697345275,0.0363688791620332,-0.0913749859208444,-0.433468247987879,-0.0389543022165265,-0.116227976189496,0.0869386507151445,-0.0633954001238241,-0.0139879427790511,0.0513267837998801,-0.07460322995727,0.0880873103730053,0.108884313280576,-0.0126213025196111,0.0705557522559544
"Coping_emotional_support",0.0945257191447997,0.0773635320054581,-0.0678969316716247,-0.067275882385081,0.219118105420186,0.0705366611248448,0.34972567838529,0.0167795042868237,-0.021824223502415,-0.00873990907803308,-0.0195602387106532,0.0604746172126697,-0.113065574203264,-0.0208601356814993,0.0456250465987307
"Coping_distract_work",0.066230363371403,0.0758540659637416,0.000619716054430623,-0.00329029361443809,0.124877596255254,0.0194845413776821,0.495722440410164,-0.00073835947638283,-0.0614408850120864,-0.031989988335047,-0.0158091334524586,0.0606549779166505,-0.0177293617104439,-0.0456238452707266,-0.0151370975813899
"Coping_alcohol_drugs",0.00146533932401446,0.0299377228609493,0.199893468084451,-0.117748247823126,-0.0888147369540427,0.0314413828314481,0.172363185148184,-0.00512205998261427,-0.0458290545060771,0.0794212330140418,-0.0747425836647414,-0.0265002474383269,-0.0144859578926329,0.220346145516863,-0.118603942239434
"Coping_optimism",0.0106434679583336,-0.0662276817280255,0.0898611202260054,-0.0145322882231847,0.239171558539957,0.00864368888691351,0.451595619923486,0.0241898745020204,-0.02241308836466,-0.0477141589006904,0.08459860459395,-0.0285916487444367,-0.0514040007586198,0.01767363756702,-0.0943656188435795
"Coping_humor",0.027051289373612,-0.0725702703671427,0.126113470254747,-0.00681393690860786,0.0271492322327524,0.0937833946047208,0.447719568765298,0.0454183501037935,0.00447664526038031,0.0415147568026227,-0.226288036080606,0.0348369510013308,0.070119458338178,0.154633508399118,-0.0866828535835139
"Coping_movies_TV_activities",-0.0265823106033844,0.175797104651767,0.0539832459329923,0.0563434179527516,0.130350373971916,0.00674824932242887,0.527435826636553,0.00671392996255201,-0.000555007560314666,-0.0686316737534718,-0.0249134366068931,-0.0377928343225858,-0.0313262360358147,-0.078549983388018,0.0614595922561008
"Coping_spiritual",0.034235664415455,0.0138922759550264,-0.0610896529648136,-0.0220148733294672,0.445563957577464,0.0632681838004496,0.157059360323375,0.00756976996855797,0.0027152382082475,0.0113286286937443,0.195797090188823,-0.00563653254695495,-0.096640415177635,0.00993535739717441,0.0583812986662927
"Coping_outdoors",0.00610792069210397,-0.0545904157380871,0.00127676328814292,-0.0277623690210484,0.617842998194205,-0.0189369625771264,0.116797754850259,0.0202167561298653,-0.034777428493298,-0.0112628906391358,-0.0405745783354013,0.0054188847891186,0.0816124847856369,0.0923956856780462,-0.103802266400851
"Coping_pleasurable_activities",-0.021069840993496,-0.00592496117979895,-0.0470960786170633,0.0307562155428313,0.472471147860165,-0.0116506749816621,0.287678917371106,0.00399906770577756,0.0129300494370583,-0.0691534026373582,0.0179085601163504,-0.0292701661988104,-0.058260603270453,-0.0295218424911066,0.0776088960222019
