"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",0.030933163750355,-0.22259027407431,-1.1917125278374e-07,0.165138606686581,0.0246085030421091,-0.0131366481460558,0.14531700533457,0.0275670630619431,0.18167456539204,0.0516691133743131,0.0608373785952573,-0.039345235805121,0.015751519737638,0.119082196915256,0.111422472016625
"Covid_dx",-0.159172409237511,-0.0758417026231301,0.0249948813659878,-0.0963945243100808,-0.0603424315215807,0.0536424016282056,0.216079114892813,0.529278727771206,-0.0562390387807818,-0.171719333564521,0.10162781790806,0.104616260516104,-1.02218870031779e-08,0.0478679318832087,0.0186434753067548
"Covid_family_Friends",-0.141841451518707,-0.217275253477485,-0.0744371488132948,0.105324207355192,0.0440039495382681,0.0852549733048191,0.107252186784733,0.347188018810872,-0.0160509977747297,-0.139313412306728,0.0387509996231458,0.0489317414510212,-0.0699166036738012,0.0231609745090714,-0.057247261481604
"Covid_isolate",-0.247839286469434,-0.207263388149,1.33345652507085e-07,0.00809732888403061,-0.0514839354178817,0.0821733605671924,0.156637387291747,0.573184097984128,-0.0603694675485011,-0.177644957569493,0.0841152825437588,0.0935390088062386,-0.0643294320199978,0.0821362868286357,0.00541638632818222
"Covid_death",-0.0990979930311239,-0.191892957164965,-0.0322131684629602,0.0767301924592006,-3.42865825969627e-07,-0.0359859844968363,0.0192080498451382,0.174669355178367,0.05142017556011,-0.165550731366807,0.0905989419600163,0.0243487799630992,-0.0260512780229238,-0.0239952641239359,-0.128332916122786
"Protest_Participation",-0.275568669204257,-0.0661195053415129,0.0545034566883321,-0.154553564787934,-0.122193587295013,-0.146407238628227,0.370194878540409,0.0339637733797251,-0.0634273056427286,0.129772349389976,0.0331889664862608,-0.116339640889416,0.0775237446523296,-0.0947236131067061,0.036871216741298
"Prior_Covid_Racism",-0.0690247522359885,-0.38686193239726,-0.250546549224441,0.324000920671923,0.124666329073435,0.234135730269808,0.0543789881362156,-0.0315116761546424,-0.0809385545149389,-2.20764308321922e-07,-0.0200021198647489,0.0215192551662795,0.00677873758205341,-0.0623721209836816,-0.03307474442267
"Covid_Racism_increased",-0.119818338808437,-0.333369033578785,-0.128021987492787,0.179690092405852,0.110344800387253,0.165500029959717,0.147418151498485,-0.124370590756182,-0.0630996448335031,-0.10500382033622,-0.0634639842075769,0.047966917510851,0.0780934528001137,-0.038218192911341,-0.0519491150282263
"Coping_emotional_support",0.190927981131702,0.223152641797005,0.278943247551935,0.0263129713977777,0.225816649190079,0.174065528798623,0.0952150830952928,-0.0368383611831524,-0.0425969827038947,-0.0463466929015662,-0.0449542953006352,0.102714525337939,-0.0141764506167603,-0.107924799863525,-0.00966930077726703
"Coping_distract_work",0.246487257147462,0.212189929193557,0.322971861894003,-0.0547489585346977,0.22689374248714,0.131968017344797,0.136096304283516,-0.146071934756194,0.0248581898844518,-0.101123027954936,0.0249253802426,0.187445431240407,7.10357877381496e-09,-0.0663129829037689,0.0271066563052537
"Coping_alcohol_drugs",0.406257475968976,-0.155240557199556,-0.0213177164632955,0.127857744670395,0.0657809523057345,0.0857076146860265,-0.0773991574343287,-0.0767124480389004,9.13099490926168e-08,-0.048972181582655,0.0553609660463528,0.106665695655662,-0.0847595568337362,-1.84139982603929e-07,0.137180183461917
