"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",0.074749152451573,-0.0915930015754387,-0.015098385249225,-0.171131943222212,-0.0257328879996422,0.0417863717465935,0.0328503343070163,0.0656863387562904,0.0152276301846408,-0.224710819563121,0.228153089542808,-0.0420645331582263,0.011418372604003,-0.0142666128966281,0.11087146018897
"Covid_dx",-0.0736809777211126,-0.0345636505392007,0.0101799090361518,0.0586261766227891,-0.152528035986255,-0.0399117966832974,-0.0422597233645394,0.629489672609224,-0.0157067846756644,0.00388106658012476,0.0102042776344733,0.0485244734214655,0.0159529708772592,0.00950314870572549,0.00434745321842885
"Covid_family_Friends",-0.0639818031614391,-0.0746798281161158,-0.0439306260764253,-0.182365221174283,0.0439167497731917,-0.0337814922120066,0.0125378962275121,0.447611878044684,0.044123385436331,-0.049385549629647,-0.00472558949329466,-0.0386246924536135,0.00778585745033501,0.00161577246358899,-0.0160888522677369
"Covid_isolate",-0.120056141085189,-0.134424640866574,-0.0511749409622442,-0.0565209376322299,-0.0844296515254554,-0.0270481998325649,-0.0391508039192894,0.690864017478005,0.0242467662099465,-0.0167275888398188,-0.015956449286297,-0.0343972459159051,0.000453749718317083,0.00891927503568304,0.0408093264254051
"Covid_death",-0.0322377691066343,-0.118691787191913,-0.103219317411103,-0.081289373700124,0.133482372643296,-0.00693322648278093,0.036887112350943,0.271776735064459,-0.0247738717709517,-0.0559665936208521,0.0426713945509513,0.0197815274832734,-0.0257291056969444,0.0110699755647754,-0.0947008682836905
"Protest_Participation",-0.185391779222996,-0.119082176758544,-0.0538635588407087,-0.0387149536943077,-0.444180071843838,-0.0650108917374611,0.0244506171773119,0.0663616066114222,-0.192018409134964,-0.084824443753038,0.0690236344240365,0.0713366321125106,0.00610014018064759,0.0164256143999325,-0.137436066696076
"Prior_Covid_Racism",0.00688311708376778,-0.0664283486778689,-0.0867465892098709,-0.568444278416081,0.122224469433918,-0.0681545874642582,-0.0391354391119503,0.0762658990848917,0.179501516417629,-0.0314926559883958,0.0387867808166214,-0.0311238979254678,-0.00246226600898344,0.0968270078970386,-0.0287144770238684
"Covid_Racism_increased",-0.0463065373495789,-0.118857291888835,-0.0337248119862592,-0.461345338508158,0.0772358789728291,-0.119614055457846,-0.0476814592724013,0.0404201169029096,0.0508569191876814,0.0457105869502213,0.117323634110943,0.0889415085029715,0.0535896580246019,0.00408156770138056,-0.0570069968102717
"Coping_emotional_support",0.0883800997204625,0.0906183418153692,0.477456224012549,0.0154560776783419,0.054006602988931,0.0677575492645664,0.019849264324828,-0.039200140422658,-0.0164555825998915,0.079570709944034,-0.0871919056192402,0.131025754886919,0.0487478064344173,-0.026079636159235,-0.0183773107320141
"Coping_distract_work",0.144167525807651,0.0712250560890211,0.493869076973434,0.0793603307924799,0.0779432026969205,0.0172095148386352,0.0148852432716315,-0.0877745090960775,-0.0687722589533696,0.0568430280321641,0.00269946639300977,0.268157199781053,0.00955383042528958,-0.0649805707073569,0.0422578253052478
"Coping_alcohol_drugs",0.399305307360069,0.0549709198954697,0.0420553033975548,-0.137919181485084,0.183651512204276,0.0355349600160142,0.0056545858332508,-0.0451193110787135,0.0497238356253306,-0.0404878837960005,-0.0114942134091733,0.0829199377555922,-0.0157722533024649,0.0555807447141115,0.189999314523167
"Coping_optimism",0.0726153220183834,0.036505587589832,0.5555531513324,0.0581116643895317,-0.00168296603239896,0.0148371272949749,0.027472713810334,-0.0506032839262134,-0.0601822527154354,-0.0173107334968962,-0.0239965968025113,0.167200483529788,-0.0597163604572766,-0.01560934010281,0.137059007414659
"Coping_humor",0.29636897482772,0.0400819996411457,0.343933324264604,-0.0103495965462194,0.345684193639097,0.0821179068208895,0.059219935489316,-0.00382839893349218,-0.0137899861590352,0.0101663814493645,0.0728752903172768,0.218132182955285,-0.0142722441371868,0.0700248991333757,0.146824252139394
"Coping_movies_TV_activities",0.237893414838755,-0.0140717444689755,0.51892230840959,0.142962354084647,0.0315734960403045,-0.0027031497591319,0.0162099951071278,-0.0215024004115008,-0.106787928277232,-0.039090684354233,-0.00534593449715791,0.296500552945276,0.00753063204334301,-0.0880996016493186,-0.0347091402435732
"Coping_spiritual",-0.0359500434528091,0.0420485668284725,0.540637022679168,0.0355048182314005,-0.161750714089646,0.0678301025231822,-0.00205589917351154,-0.0152823668663503,0.0475309419869066,0.0323652110512137,-0.0731856993610535,-0.0799122271573942,0.0337991863694337,0.0167900083077878,-0.0162677357073034
"Coping_outdoors",0.0187350366054362,0.0163354512094922,0.624322394920137,-0.044842452797613,0.148150370575408,0.00262948139134178,0.00850444861903038,-0.0329179674040031,0.0167327806154749,0.0221900756526534,0.0666185450752556,-0.219975219370833,-0.00823600473179713,0.0400728483941488,0.0852689156939773
"Coping_pleasurable_activities",-0.0502598131468025,-0.0398620996403056,0.637401491267686,0.086766009901972,-0.0149825353411087,-0.00765651685841561,-0.00746961302457081,0.0114575495893202,-0.0419163658196701,0.00176459655230627,-0.0418806658967232,-0.0107342366660521,0.0139417118017432,0.0145395930320997,-0.0661716642965461
"Coping_not_show_emotions",0.288829612484107,0.0582387860955732,0.400185858137321,0.161126843010972,-0.0613001774366016,0.0361120219263781,0.0187542371597513,-0.0977083936321816,-0.0404539811970973,-0.0134045933876565,0.0954144881521631,0.182629149919011,-0.0588882906145235,-0.0288751939890115,0.0651115457481942
"Coping_exercise",-0.000560378437721149,0.0116970162288899,0.611143746151699,0.00678015105770692,0.1082063333464,0.0236394679815961,-0.0351779789955806,-0.0292182613657233,0.0566156113165306,0.0894468112773628,0.0386170370186865,-0.304469475154644,-0.0236429691467422,0.0093834194520934,-0.0415065773491435
"Coping_nutrition",-0.0787020557401979,-0.021864409872836,0.610386457259102,0.0540665594634841,-0.0260397228968376,0.0263562272850876,-0.0647466656814067,0.0568997384214046,0.0851571054846088,0.0487926387750142,-0.0544988558272151,-0.312810928879282,-0.00315261581066341,0.0220939992659211,-0.0909636055611189
"Age",-0.0322407311201957,-0.0292760554633204,-0.0312650047128433,0.0527930001462331,-0.175303980103082,0.0127324957282341,-0.0125622941758044,0.0314102456848269,-0.0125934333094552,0.0757687263801101,-0.0575959222530349,-0.00790957431461104,0.0154932759432389,0.150858015883833,-0.0443888350200528
"Education",-0.0372972984590659,-0.0110373639969042,0.0684128413573362,0.0468566724117851,-0.00128837610465062,0.027111746368017,-0.130654330719642,-0.0321872259331108,-0.00980826187384684,0.541673780977757,-0.165619501787169,-0.0536608716455857,-0.0348731520420573,-0.016374331014103,0.00931624863678045
"Income",-0.0404482159216963,-0.0451407844680845,0.084154430342729,0.0397600414975206,0.0228298863060292,-0.0179021160429121,0.120810455716593,-0.0296983032047055,-0.0573810813763548,0.624085671191869,0.0241175282608672,0.0584090863383494,0.0300025279631072,0.0308062294817138,0.0165158147310584
"Population_density",0.00448334433506434,-0.00436576685386537,0.0200450091872277,-0.148773030703548,-0.053314459624075,0.0308017358012549,0.0224087159116212,-0.0334305053905258,0.0723793548325537,0.0177008226749938,0.0147806039047061,-0.0996241872321034,0.0260956869155471,-0.0229336036830231,-0.0013557995875614
"Sexual_Orientation",0.148937082531877,0.0477299189325411,-0.0489371739454941,-0.0260954105455897,0.233737929597798,0.0272854150862491,0.032802617011918,0.0114788465322689,-0.0532405589326712,-0.0680940296593717,0.156282272565487,0.0231677130223313,-0.028267281595633,0.0530456708768236,-0.0246146747991186
"Marital_status",0.0716764821782813,-0.0377656774294795,-0.0309852769838808,0.0331759221356906,0.267690963772039,-0.038118587117041,-0.109397628097105,0.0170268475824511,-0.0846406378243392,-0.307397453251821,0.114363858397536,0.125830156072324,-0.0209197493431641,-0.0755331475655687,-0.0306555503659277
"Number_household",0.063955033974099,0.0379997669472602,0.0175279078263916,0.0190027366220306,0.0343821777606056,0.0137361117654885,0.834120600855024,-0.0669026828789259,0.0165684987676021,-0.00565814582668948,0.0905420677568556,0.0140912987019981,0.016281246683938,-0.0332083267696906,0.0578602822614755
"Number_adults_household",0.0650881919978245,0.00539986424579329,-0.0131146989514384,-0.0042716347569189,0.0676266148157178,-0.00639491899175889,0.801261169951782,0.0255279495426459,-0.0277383273440421,0.0240666731118467,0.025689453998594,-0.00790147190457777,-0.0131413562946638,0.0222591262229423,-0.0589518679108836
"Employment_status",-0.0628723857193877,-0.0572063810012836,-0.0491822437289687,0.0282684215656013,-0.300833664788435,-0.0369473968094153,0.0277246001934533,0.118721246419705,0.00214921674666137,-0.269805483855086,0.00528628408231226,-0.0632230783512984,0.00874860105540692,0.0959184735664577,-0.296516642260076
"Academia_status",-0.0974076163403358,-0.0588619989640645,-0.0455674864102928,-0.00362303062366137,-0.477984721908475,-0.00991512462764482,-0.102087408119445,0.0514456307519995,0.0512089393776536,-0.0143358865674656,-0.040818966534475,-0.0370193799131962,-0.0184461660856069,0.017971387795314,0.0425236558764941
"Vote_2020",0.0540349046689145,-0.0231050328421013,-0.032381737672054,-0.179380588171212,0.0946950118342449,-0.00839271584105608,0.0830518237819226,0.0122049451270016,-0.0563106757821829,-0.237250583595187,0.540292009132468,0.0268232602830921,0.0467602047468931,0.0121914202848058,-0.0288266506772541
"Political_affliation",0.0400853727890133,-0.0366680030475977,-0.0548423599842579,-0.0909829903208795,0.0237405255459697,0.0230390180694158,0.0111558802136272,0.00614479026907104,-0.0177229991658702,0.01197476475182,0.521853454161725,-0.0101997325298941,-0.0186247185925488,-0.0264919480962227,-0.0103542779746994
"Political_views",-0.057150550083278,-0.0254331364866738,0.0171528338313939,-0.175219867089557,-0.233111726735723,-0.00600447653218681,0.0416920885362179,-0.0597651364711234,0.0199547634353191,-0.0813915251400501,0.216757868434721,0.00127032197474464,-0.028030709687086,-0.0121023116696,0.0299150007371868
"Find_out_study",-0.106520517274138,-0.0731463990845289,-0.0189477360166829,0.182049872328738,-0.339676531318111,-0.03854493221904,-0.00522979823087108,-0.0182210570986498,-0.208861319906625,0.0314621489829873,0.0863463085264609,0.134586448509878,-0.0414917885083865,-0.0614966917946313,0.0204595795457629
"GAD7_Q1_Feeling_nervous_Recode",0.758975675501309,0.124991635823344,0.0805227205493569,0.0660110354887226,0.0340497057244363,0.0508729705396666,0.0397276617626137,-0.0719203646785782,-0.116630179910882,0.00853120553288745,0.00553877426567923,0.0608180417685719,0.108116261859139,-0.144980943440178,-0.0377314304451192
"GAD7_Q2_cannot_stop_worrying_recode",0.808916342736407,0.117937567390241,0.0718179105518608,0.0162330993479334,0.0569214507721819,0.00411276935892611,-0.000600113915256779,-0.0524580104490316,-0.0531507723752402,-0.0202701384658181,-0.0263211164808653,-0.0032438971444636,0.162155046662116,-0.319048685225233,-0.0515534990349266
"GAD7_Q3_worrying_too_much_recode",0.799206397785827,0.128721285506912,0.0472912817634298,0.0593776201979067,-0.0401216342754215,0.020482321266333,0.0286002500431728,-0.0536681434473964,-0.0573564822049428,-0.0313325620565921,-0.0090771165007284,0.054805562686798,0.177475378138716,-0.310818635293641,-0.0393843829781406
"GAD7_Q4_trouble_relaxing_recode",0.80864618224141,0.124529159559562,0.0397279574133041,0.00197871843705802,-0.00705288178001345,0.0414287336614678,0.0559032504837686,-0.0214292950400738,-0.00913753579191941,0.012192733191,-0.0351248796855774,-0.0479905734536442,0.180331616593541,-0.0326990899706138,0.16278571731478
"GAD7_Q5_restless_recode",0.713283701612345,0.13394658849318,0.0511097017335572,-0.0844195719751376,0.143381596737294,0.0767729989336268,0.0248511579439623,-0.0354804062239706,0.0183387481768032,-0.0288829604622749,-0.0215365888848097,-0.108317952565141,0.223236496104061,0.124284120455969,0.161551883967392
"GAD7_Q6_irritable_recode",0.733601531849987,0.0897001139564664,0.0501995886283693,0.0505743197540142,0.0765776071099025,0.0402663838328125,0.0601310158206776,-0.0927687180676833,0.000793062154782619,0.00689140938361853,0.0926890006795972,0.0923927368387901,0.0756757833836796,-0.0649879330049508,0.0798068075587711
"GAD7_Q7_afraid_something_bad_recode",0.742642192031975,0.115825699760351,0.0576015380099426,0.0222227104416585,0.0656791130813418,0.06689481674957,0.0376708825719976,-0.0285125369367645,0.0104371068070573,-0.00825307902699157,0.0112070397989682,-0.00129175433528174,0.213110708602209,-0.0576883466914382,-0.0280332229576058
"PHQ9_Q2_Feeling_down_recode",0.724440145185107,0.17419023160886,0.0230623238766154,-0.00970790778466767,0.00131013878122178,0.0793266705718342,-0.0333645200937103,-0.0419075054137381,-0.0389219792500194,-0.0182901850461712,0.0437874307060573,0.0631166614442472,-0.153490162122871,-0.0278120685992563,-0.119914847784354
"PHQ9_Q3_Trouble_sleep_recode",0.694066188890081,0.139260537082645,0.0247829809906444,0.050566227323663,-0.0374867312386248,0.0443055854777365,-0.0151342143328569,-0.0326230580470571,-0.0461178458190638,0.019470907585351,-0.00860638892335706,0.0218270925255612,-0.275262718207441,0.00397930146400089,0.0680045782745619
"PHQ9_Q4_tired_low_energy_recode",0.734813478436138,0.137789775021111,0.058921438618989,0.0362024258867607,-0.0250751274386668,-0.00551008712152028,0.0158604714673848,-0.0495518360952831,-0.0849780324001465,0.0238320304944808,-0.004562073318553,0.0590113723086627,-0.336180406720588,-0.0125846431903711,0.0203748309037806
"PHQ9_Q5_Poor_appetite_overeating_recode",0.698434119823766,0.0986783789983647,-0.000580584304189026,-0.00812976810896738,0.0568897302184287,0.0402258128809069,-0.00167337499347033,-0.0838949845708704,0.0204297286055428,-0.0142700436378987,0.0153596940719135,0.0354581415943173,-0.217003667871416,0.102512804764579,0.0474031823027977
"PHQ9_Q6_Feeling_bad_about_self_recode",0.74185604285869,0.123354229723709,0.00375175693675207,0.0257132573707221,0.080700711788054,0.0239608203632866,0.0336384288986885,-0.00234140448618789,0.0096954549192219,-0.0697433229714212,0.0818673321250191,0.0628527218535628,-0.128868472447907,-0.000970565639319609,-0.078670952753225
"PHQ9_Q7_Trouble_concentrating_recode",0.724718100782088,0.0965863422948871,0.0259260348806762,-0.0192004756698513,0.123607852476477,0.0344131954972357,-0.0215464889002662,-0.0142565133620765,-0.0175185520895037,0.0120168245522938,0.0138096339826651,-0.0771366421239333,-0.035887500417491,0.150216115608533,-0.0485463095014543
"PHQ9_Q8_thinking_slowly_fidgety_recode",0.636205967966712,0.0649616954449121,0.0377215424675931,-0.119069776719278,0.23935690442447,0.0689288030310372,0.0258466133907564,0.029011449740074,0.107584787627694,-0.0585940954967069,0.037409749244454,-0.156448790079141,0.0105908727108136,0.204868223836713,0.000903779591370314
"PHQ9_Q9_SI_Thoughts_recode",0.593029047031249,0.0293386718543086,-0.0142758636495945,-0.148370739259407,0.345574418245567,0.0301417728491001,-0.00291352825396867,0.0235496800667505,0.149397047764388,-0.0185874695515416,0.0328576000936063,-0.111075296222346,0.00993657608574544,0.170074571748383,-0.0746081532514964
"PHQ9_Q10_Impact_of_Problems_recode",0.668460759636864,0.158935002904709,0.0416744037753238,0.0507027538404679,0.0876142847575131,0.0549347404843066,0.0202745807540736,-0.0491007957219451,-0.0107176326189981,-0.0706982423996398,0.0182572538879685,0.0429180936956847,-0.0256148437879782,0.0236303783759893,0.00181546241579749
"Covid_wellbeing_overall_recode",0.257754128349024,0.725406854551011,0.0357319856002136,0.068025866624183,0.147232415192181,0.06893671242443,0.0315412464842261,-0.090838691732423,0.0600088652577358,-0.0202223156198482,-0.0530879063265555,-0.0695225256196741,-0.0276635012770692,-0.0334675278176571,0.0271740747337047
"Covid_Wellbeing_Physical_recode",0.21439715224481,0.668801464810973,-0.00894082418521731,-0.0146034012232775,0.185621308966326,0.0262041110191764,0.0300029602618915,-0.125264722198478,0.0985267200828334,-0.0381165998515857,-0.0801314946985202,-0.0935567911539256,-0.0249286969378885,-0.00551617092807791,-0.0330275757706344
"Covid_wellbeing_Emotional_recode",0.290119748311648,0.817790438535439,0.0386204311501816,0.0990056535334039,0.0437707895007647,0.0371545474230906,0.021653744965355,-0.0585362234509013,0.0139609463672513,0.0370071975702005,0.0346810790144388,0.0731366220132051,0.0983789056921935,0.045107182637429,-0.0753589758386454
"Covid_wellbeing_psychological_recode",0.346740695785233,0.771464900194698,0.0434167740309558,0.0959527882494488,0.0193947859159455,0.0311274880088851,-0.0069377948583555,-0.0549883998002181,-0.0229471421674883,0.0670622228473007,0.0483553518761227,0.0845916794273291,0.0431947018920469,0.0386768200245954,-0.0349184584562314
"Covid_wellbeing_social_recode",0.17103744058346,0.555123022020616,0.0814893598394042,0.172661083962216,-0.00183011816353663,0.068293012756365,0.00466907913006993,-0.0895722822320266,-0.0241235828161994,0.0724600786825089,-0.033533931832994,0.0619468115617895,-0.0162533974036969,0.0150778755001539,0.01026383982612
"Covid_wellbeing_financial_recode",0.213078769802829,0.604715471493795,0.0394062399721693,0.0876526869171657,-0.00728255719578594,0.0875157651400457,-0.015090486827899,-0.0753587286854687,0.0807079612741046,-0.164375208879513,-0.0634832503459413,-0.0369265963467442,-0.0964019038885422,-0.119528097080384,0.190092651958521
"Followed_Protests_recode",0.0340112482732357,0.158141987763888,0.114780820339031,0.527044980133936,0.176234915274363,0.0719413164464792,-0.00992442538686106,-0.0875328974020024,-0.0500772289193014,0.108160899813796,-0.182694051991397,-0.0748901206497185,0.0707383383222801,-0.0283365255556736,0.105839486219144
"Protests_support_recode",-0.0111740063079531,0.0548664159387123,0.0460548013136037,0.746002223949369,0.0334109437507966,-0.0296000136737344,-0.016980984305413,-0.0809619713665732,-0.117423271117288,0.0143063882618517,-0.0367938168452449,-0.0876510806757891,-0.00226281734082029,-0.0107300832937949,-0.00237343373527985
"Approval_Trump_Protests_recode",0.0511489620918882,0.0628930282451932,-0.0600301572808135,-0.289407546605457,0.240408732437888,-0.0302703573860069,0.0319044811856996,0.0624516339171659,0.608321909045263,-0.0837761782200015,0.0469976242507355,-0.0318868701518091,0.0189417505711621,-0.0559950862764228,0.078685975248909
"Protests_appropriate_response_recode",-0.017180267226363,0.0109341904663058,0.0613161833050849,0.549115238122402,-0.0307707487379406,-0.0367731373264742,-0.00719364361718263,-0.0250727880172305,0.166731964329738,0.0455560577652854,-0.0249169414269982,0.0541526493527325,-0.0109708674897639,0.0760254731712586,-0.0702153473248977
"Protests_propertydamanage_undermine_recode",-0.0565799967247981,0.0486488843400725,0.0233511443575723,0.270899206424779,-0.150117919015072,-0.0537591166053329,-0.0235521634154375,-0.0200203118251479,0.329746283596739,0.0509025363140143,-0.0486300944174498,0.10724401330468,-0.0196644949730015,-0.0215780361710639,-0.0700920693926251
"Protests_sympathy_recode",-0.00634746609510083,0.0429390851917556,0.1077930602589,0.680310792171611,-0.0517399368548624,0.00360382596929035,0.00415128475968575,-0.0359185881941437,-0.0144677555020739,0.0183498988590947,-0.0481374680970574,0.087500956133415,0.0440934546670335,0.0187931700030332,-0.0590957201517779
"Protests_police_good_job_recode",-0.0876210278153749,0.0496289162343537,-0.0459807959079002,-0.122331698292829,-0.00774159004814102,-0.10315842904884,-0.0200354012362448,0.0102623303233058,0.618182359913019,-0.0182775283986385,-0.0561638431658683,-0.0738352669675409,-6.30020680427946e-05,0.0413895219227558,-0.00435805284673489
"Prior_Covid_experienced_racial_discrimination_recode",0.198019151423035,0.111129881101797,0.0967480348567798,0.0206432910380368,0.0550524162842145,0.774755804499845,0.0104731477646235,-0.0709639830859638,-0.0966477910040393,0.0106438452898966,0.0125921294752144,-0.0337220536664251,0.00518438213861856,0.0356561118330303,-0.00199366200758171
"Covid_experienced_racial_discrimination_recode",0.203023042595899,0.14459674110695,0.124216383538948,0.0797776554153277,0.0583731563761501,0.843446386740083,-0.00449061262867336,-0.0619834074365509,-0.0787476746708331,0.0137455206928424,0.0376166438458974,0.0216674208709398,-0.0047876141891488,-0.0279446058036788,0.0290168121808855
