"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Covid_Vaccine",-0.00555944887591975,-0.104926533924018,0.120953490430745,0.196713947755043,-0.00844530076834971,-0.13883438445142,0.100224266386051,-0.17406691918241,0.0700693838371542,0.133439198745864,-0.0644699859513655,0.0319658086235536,0.0257814056329629,0.0913317845190448,0.0866729770827157
"Covid_dx",-0.203872056319247,0.177168492497354,-0.139583196319917,0.148339734184387,-0.185931823770889,-0.18996398526229,0.167241556332952,-0.184414906144971,0.199581319688196,-0.192079133200671,-0.0283894905298863,0.156915088491368,-0.10220237928487,-0.201911626568371,-0.188955221940249
"Covid_family_Friends",-0.147299696987103,0.0866264715854814,-0.0520745415244213,0.246506326521657,-0.208480667046772,-0.0651430559078915,0.0476502566173009,-0.144837140941318,0.103626663965975,-0.0755324099080491,-0.17988216307836,0.0915655437856701,-0.164414327300012,-0.0622646582764802,-0.0541683933416875
"Covid_isolate",-0.256866237257002,0.159077728513538,-0.174091127838392,0.251371511592584,-0.209939130789915,-0.196266906753877,0.132305226005185,-0.232507478441477,0.140591230752556,-0.148424871822753,-0.135177749750628,0.177756908881088,-0.206127254007436,-0.164501757721532,-0.169932107248167
"Covid_death",-0.0548512349033321,-0.0106547069813136,-0.10706004301788,0.236997182279559,-0.106011814142756,-0.00545239915619864,0.0614006561081227,-0.0408216184731562,0.0738383542818103,-0.0544043526004995,-0.190842717073067,-0.0146064974734299,-0.0454303990704668,-0.0277332344700826,-0.0765072437401749
"Protest_Participation",-0.13717159242414,-0.270433145412555,-0.0742654810940046,-0.0881509227311548,-0.130515365656244,-0.217719923497338,-0.122223694261975,-0.0894300156920669,0.192854288812808,0.087485383332459,0.0745088423231389,0.098323791161922,0.11984223502934,-0.18245924564739,-0.179616722673167
"Prior_Covid_Racism",-0.201954046327881,-0.0981515464668398,0.226580822507757,0.21837100713615,-0.194796377258337,0.168793982514586,-0.0987096493555453,-0.0787610233869049,0.0806565387714106,0.138795931923194,-0.235360550453112,-0.0113270705238762,-0.24430073963335,0.175043846967445,0.0670366908247385
"Covid_Racism_increased",-0.243476632947363,-0.166700269786527,0.175648560549086,0.200303731166328,-0.10053407705597,0.145166354509486,-0.140721647165082,-0.0776643787727949,0.139787342008072,0.0315829625338701,-0.147081839906478,-0.0878644970492249,-0.115040976369018,0.050585138264894,0.078581168404067
"Coping_emotional_support",0.197469330894767,0.251655411864594,0.148228822284361,-0.142996532337098,0.124486354942498,0.105905182678535,-0.136112630376077,-0.143093597593761,0.176046294660763,-0.121044400837561,0.0603883105222601,-0.124165931463779,0.00423439044928893,-0.0943798459436105,0.0658647833036238
"Coping_distract_work",0.209887620968791,0.218468376047533,0.185688256430137,-0.07428146018949,0.201035842569928,0.119520308734539,-0.0940485798080784,-0.170812751494091,0.179332097253632,-0.162729110296289,0.166239238200081,-0.207416599600912,0.119763069980897,-0.0830823558684193,0.0359101005003774
"Coping_alcohol_drugs",0.140714314332304,0.137845910514245,0.184376381510356,0.216245100588507,0.11147733433123,0.229248706512932,0.120838809793353,-0.0286973092641468,0.0513284555881743,0.108990063350776,0.120767708631822,0.00794680167649625,-0.0653193454592805,0.178963659904468,0.0738250100008277
"Coping_optimism",0.232407407593572,0.221921745017613,0.198972148490794,-0.0943307450862949,0.182692287128101,-0.0173322060695482,-0.147946629018014,-0.27868938230543,0.135161015990228,-0.138633770677353,0.171416055693155,-0.148239467512444,0.0422200365956113,-0.0379236444169241,-0.0125743168736018
"Coping_humor",0.261082541263237,0.241238496956728,0.147438386373091,0.163095113555191,0.211312937714051,0.200889544437305,0.0798266712896462,-0.146246314790686,0.171684231819233,-0.123164015980273,0.0715306668493482,-0.225751030000112,-0.00899117512980938,0.148256861811193,0.0848367329445268
"Coping_movies_TV_activities",0.275293010626307,0.222984562725424,0.195177130456036,-0.00159341986610481,0.228809613936703,0.0780399626514579,-0.0495297270921492,-0.174882723324102,0.234366614516484,-0.114806204461225,0.155549073323843,-0.197146677634213,0.158886362571562,-0.208042609195587,-0.0578940705424747
"Coping_spiritual",0.149523240988011,0.232084090377922,0.176020473405603,-0.287289624761351,0.113427377686649,-0.14948071848374,-0.193281786755812,-0.182253897226181,0.151672549069043,-0.0520698686501182,0.00751586164042933,-0.0186541010251648,-0.0798510187118737,-0.124060532086954,0.0306325809198194
"Coping_outdoors",0.251983548283177,0.224524180328826,0.2767491888703,-0.0914605515369252,0.237516684319454,-0.166607602941824,-0.205429711115956,-0.173202951118446,0.105289676753924,-0.196959172136801,-0.107859651961753,-0.0734691207397297,-0.170294118198351,0.0572966644980329,0.153734758921987
"Coping_pleasurable_activities",0.235930124854859,0.201770780518148,0.178124556399457,-0.189871746307361,0.179742797762524,-0.140104491195268,-0.214608691265444,-0.202891803967618,0.174395017486254,-0.185579550740253,-0.0356913559232456,-0.140476153074811,-0.0686601179471487,-0.179894402100025,-0.0236247487797269
"Coping_not_show_emotions",0.214523895176388,0.209534109292019,0.218637593213015,-0.0584735951678744,0.256014285424505,-0.00756674060287006,0.0252736669158841,-0.100737881693162,0.188446163599236,-0.0257633811163358,0.20781406833606,-0.0973753262541164,0.180285480476615,-0.0243764176519813,-0.0349931024859623
"Coping_exercise",0.209581537988691,0.261488572545532,0.256610613806406,-0.177520905092576,0.260281294491326,-0.184070038357227,-0.225348920541447,-0.0779980382906674,0.0920143394793411,-0.191298673681757,-0.205183437838391,-0.0248115516384573,-0.159750906469809,-0.00516643403292516,0.119687884158714
"Coping_nutrition",0.175361961792901,0.27241889043386,0.20796155814684,-0.255627229691472,0.187641758865935,-0.250054134178054,-0.22214309333673,-0.118365332693128,0.0872638304283833,-0.15488113132159,-0.210518853464065,0.0164877753837231,-0.203352778432766,-0.130944706143571,0.0291791656919342
"Age",-0.0558505742598569,-0.0234628413201493,-0.0888408367870049,-0.13082187540262,-0.0137123080342685,-0.0509487064113182,-0.00373555386300519,0.0447490844624094,0.0929430025088853,0.0501756219916624,0.0603802683227613,0.0452994232967537,-0.0853376031857702,-0.024581084433986,-0.117172693278461
"Education",-0.234665634663398,0.190926081176028,-0.137445849984769,-0.192882947462775,0.237417597309154,0.173195931837989,-0.215427081715141,0.146369172233337,0.00363366879954692,-0.165994075752294,0.0490580202452531,0.0736663855274123,-0.124017074165613,0.00148932959206231,-0.00483249111516458
"Income",-0.252964161984944,0.175495653244038,-0.212318195176796,-0.0876455459918929,0.212214962269824,0.0819091705397725,-0.258174798644984,0.200468045627846,0.195757538496002,-0.18913799443111,0.131157307887708,-0.109451688275048,-0.0460999424352636,0.0877117868762528,0.0911875863888283
"Population_density",-0.0546928623643235,0.00980543208298429,0.0727484003711,-0.0173650900038089,-0.0204633190573306,-0.0206866624515575,-0.078502210557686,-0.00906372920755429,0.0208188202810912,0.0998704050606311,-0.062382056983602,0.0519796087201485,-0.0442858213106757,0.0371806253531635,0.0936605212738842
"Sexual_Orientation",0.121227424933754,-0.030140852715258,0.0376929148339212,0.17070690011146,0.0323304701917609,0.0770507089612005,0.14046902473494,0.0556218506567045,0.0671562815053545,-0.0561391630593376,-0.0874637020394807,-0.0473561373247796,0.0552519677010856,0.149039482942031,0.0444941025153985
"Marital_status",0.178302795469774,-0.146367718907685,0.100459797639051,0.227614924795937,0.0214395176550404,0.084388068522504,0.206737026913268,-0.0970287141450537,-0.0875439219365775,-0.088405528679955,-0.111679948087805,-0.105401225001251,0.119465606788708,-0.0486932363250099,-0.0330102605881453
"Number_household",0.242451432371631,0.222728789351081,-0.218363610574634,0.22762930773084,-0.231496512428296,-0.258061931223758,-0.230460344847046,0.154895379538329,0.161410291145377,0.202958661770505,0.16502056445485,-0.250389925966021,0.207409296626075,0.224234318960138,0.256073024126115
"Number_adults_household",0.242750089204047,0.215189085498084,-0.264176870287296,0.258646031384867,-0.260637412938482,-0.210229344952709,-0.249475228434437,0.205722489654831,0.210541298053701,0.163600790829971,0.07465502577733,-0.209649208950757,0.143440471128925,0.184397101008399,0.155403558276024
"Employment_status",0.0503780582065162,-0.144253540384957,0.0216416252246135,-0.082903048405989,-0.215664984033154,-0.229571506537885,0.0500404558593515,0.026910115663934,0.133123542403141,0.170197766528553,-0.129340368195304,0.0790173314760071,0.0300820155409556,-0.198298730043181,-0.219491490874436
"Academia_status",-0.223543281554405,-0.0661918536743192,0.0142714299642894,-0.191969592150982,-0.0571079714961295,-0.19411655623131,-0.0318744353107683,-0.100218982581225,0.0234766054207936,0.174941225173469,0.131994220718002,0.188152739043206,-0.019335305891768,-0.117667048855428,-0.152985117248288
"Vote_2020",0.00511602070437671,-0.258516777116417,0.183686522756909,0.243723598633282,-0.0188302168347362,-0.172812519328701,0.175192882535556,-0.070213668737495,0.218232707395774,0.00461576254899367,-0.156641570814078,-0.112598035604159,0.18719277803782,0.182116580003705,0.170628104354285
"Political_affliation",-0.165196136936186,-0.155617565336293,0.108288888663693,0.137294331742926,0.112293915639294,-0.162381841495533,0.130417642004235,0.0107677938959184,0.188095893014145,-0.0374606836486794,-0.125717817518097,-0.0530681489027193,0.198193808227718,0.196934495238058,0.133746847212906
"Political_views",-0.126322692562087,-0.142653091439708,0.13844411823852,-0.0227614210683535,-0.0494742773464802,-0.163875349489552,-0.0649429561014946,-0.110739758559373,0.109064157474799,0.132223197963404,0.0155072582124357,0.0197430038104454,0.10342351777273,0.0804539220624573,0.0384519886798946
"Find_out_study",-0.102836671063513,-0.148666308211213,-0.121305106984439,-0.104480834908404,0.0659953553870834,-0.171629500076674,-0.0495233773253197,-0.0600026599668392,0.0786953208838215,-0.0247523581748415,0.224281043314044,0.0492733096559271,0.218084568804216,-0.131178431228521,-0.145086887400902
"GAD7_Q1_Feeling_nervous_Recode",0.287085710499969,0.229595917460519,0.21388494339046,0.220488179227805,0.263341269233442,0.249376148187838,0.181267451396516,0.222772733528997,0.242706907165826,0.165030508256868,0.203468862556029,0.18771648822972,0.18687404144991,-0.0936395700855114,0.120655549794756
"GAD7_Q2_cannot_stop_worrying_recode",0.248728644607514,0.275265103988525,0.301270539177378,0.297783383315584,0.256493416607945,0.268500802232075,0.170774469437471,0.241236077924733,0.157164940917082,0.192803978926707,0.151702904023311,0.244864764900709,0.200084080426068,-0.207643599031279,0.209896335280144
"GAD7_Q3_worrying_too_much_recode",0.2263306712795,0.262790792998697,0.268690269984144,0.257566433379646,0.229223917458618,0.233453013119825,0.199681841610138,0.226868179286951,0.189717304558973,0.231229789158001,0.224677614849532,0.238770746490154,0.250654817210492,-0.224716451480924,0.190583324756542
